Rank,Full Journal Title,Journal Impact Factor,ESI_field,COPE (T = member; F = not a member),journalHomepage,originalLink_articleTypes,permaLink_articleTypes
72,JAMA Internal Medicine,19.989,CLINICAL MEDICINE,FALSE,https://jamanetwork.com/journals/jamainternalmedicine,https://jamanetwork.com/journals/jamainternalmedicine/pages/instructions-for-authors#,https://perma.cc/UJG7-HL4K; https://web.archive.org/web/20200329092114/https://jamanetwork.com/pages/commenting-policy
76,ANNALS OF INTERNAL MEDICINE,19.384,CLINICAL MEDICINE,TRUE,https://annals.org/aim,https://annals.org/aim/pages/authors#article-types,https://perma.cc/L53F-QD3D
77,Lancet Diabetes & Endocrinology,19.313,CLINICAL MEDICINE,TRUE,https://www.thelancet.com/journals/landia/home,https://www.thelancet.com/what-we-publish,https://osf.io/gtkbq/
82,CIRCULATION,18.881,CLINICAL MEDICINE,FALSE,https://ahajournals.org/journal/circ,https://www.ahajournals.org/circ/article-types,https://osf.io/4y63p/
27,Energy & Environmental Science,30.067,CHEMISTRY,TRUE,https://pubs.rsc.org/en/journals/journalissues/ee#!recentarticles&adv,https://www.rsc.org/journals-books-databases/journal-authors-reviewers/prepare-your-article/,https://perma.cc/EQ2G-XTT7
35,Nature Chemistry,26.201,CHEMISTRY,TRUE,https://www.nature.com/nchem/,https://www.nature.com/nchem/about/content,https://osf.io/ge7az/
398,ChemSusChem,7.411,CHEMISTRY,TRUE,https://chemistry-europe.onlinelibrary.wiley.com/journal/1864564x,https://chemistry-europe.onlinelibrary.wiley.com/hub/journal/1864564x/notice-to-authors,https://perma.cc/P6NF-DBHA
361,Acta Crystallographica A-Foundation and Advances,7.93,CHEMISTRY,TRUE,https://journals.iucr.org/a/,https://journals.iucr.org/a/services/notesforauthors.html,https://perma.cc/5D4T-SRFT
126,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,14.357,CHEMISTRY,TRUE,https://pubs.acs.org/journal/jacsat,http://pubsapp.acs.org/paragonplus/submission/jacsat/jacsat_authguide.pdf?,https://perma.cc/VE78-UU87
134,Chem,14.104,CHEMISTRY,FALSE,https://www.cell.com/chem/home,https://www.cell.com/chem/article-types,https://osf.io/pm9gr/
182,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,12.102,CHEMISTRY,FALSE,https://onlinelibrary.wiley.com/journal/15213773,https://onlinelibrary.wiley.com/page/journal/15213773/homepage/notice-to-authors#sect2ArticleTypes,https://perma.cc/6KVU-TTNB
189,APPLIED CATALYSIS B-ENVIRONMENTAL,11.698,CHEMISTRY,TRUE,https://www.journals.elsevier.com/applied-catalysis-b-environmental,https://www.elsevier.com/journals/applied-catalysis-b-environmental/0926-3373/guide-for-authors#2001,https://perma.cc/EN37-6H7A
207,ACS Catalysis,11.384,CHEMISTRY,TRUE,https://pubs.acs.org/journal/accacs,http://pubsapp.acs.org/paragonplus/submission/accacs/accacs_authguide.pdf?,https://perma.cc/AMJ9-4MFS
210,ACS Central Science,11.228,CHEMISTRY,TRUE,https://pubs.acs.org/journal/acscii,http://pubsapp.acs.org/paragonplus/submission/acscii/acscii_authguide.pdf?,https://perma.cc/6BUQ-XZT2
288,Chemical Science,9.063,CHEMISTRY,TRUE,https://pubs.rsc.org/-/journals/journalissues/sc#!recentarticles&adv,https://www.rsc.org/journals-books-databases/about-journals/chemical-science/,https://perma.cc/53ZU-ELPP
312,Journal of Physical Chemistry Letters,8.709,CHEMISTRY,TRUE,https://pubs.acs.org/journal/jpclcd,http://pubsapp.acs.org/paragonplus/submission/jpclcd/jpclcd_authguide.pdf?,https://perma.cc/QJ6H-78RQ
313,Acta Crystallographica Section C-Structural Chemistry,8.678,CHEMISTRY,TRUE,https://journals.iucr.org/c/,https://journals.iucr.org/c/services/notesforauthors.html,https://perma.cc/3MGX-7E4S
318,GREEN CHEMISTRY,8.586,CHEMISTRY,TRUE,https://www.rsc.org/journals-books-databases/about-journals/green-chemistry/,https://www.rsc.org/journals-books-databases/about-journals/green-chemistry/,https://perma.cc/R9PS-V5BT
344,BIOSENSORS & BIOELECTRONICS,8.173,CHEMISTRY,TRUE,https://www.journals.elsevier.com/biosensors-and-bioelectronics,https://www.elsevier.com/journals/biosensors-and-bioelectronics/0956-5663/guide-for-authors#2001,https://perma.cc/F5TD-M2JV
15,"NATURE MATERIALS",39.235,MATERIALS SCIENCE,TRUE,https://www.nature.com/nmat/,https://www.nature.com/nmat/about/content,https://osf.io/9wn6j/
16,Nature Nanotechnology,37.49,MATERIALS SCIENCE,TRUE,https://www.nature.com/nnano/,https://www.nature.com/nnano/about/content,https://perma.cc/EWQ2-7N8D
41,Materials Today,24.537,MATERIALS SCIENCE,FALSE,https://www.materialstoday.com,https://www.elsevier.com/wps/find/journaldescription.cws_home/601189?generatepdf=true,https://osf.io/5jdbw/
56,ADVANCED MATERIALS,21.95,MATERIALS SCIENCE,FALSE,https://onlinelibrary.wiley.com/journal/15214095,https://wol-prod-cdn.literatumonline.com/pb-assets/assets/15214095/2089_Guide_for_Authors_ADMA-1562584882563.pdf,https://perma.cc/44JG-SZHU
57,Advanced Energy Materials,21.875,MATERIALS SCIENCE,FALSE,https://onlinelibrary.wiley.com/journal/16146840,https://wol-prod-cdn.literatumonline.com/pb-assets/assets/16146840/2528_Guide_for_Authors_AENM-1561967702593.pdf,https://perma.cc/YK8F-HE4G
143,ACS Nano,13.709,MATERIALS SCIENCE,TRUE,https://pubs.acs.org/journal/ancac3,http://pubsapp.acs.org/paragonplus/submission/ancac3/ancac3_authguide.pdf?,https://perma.cc/8PXB-FRTG
153,ADVANCED FUNCTIONAL MATERIALS,13.325,MATERIALS SCIENCE,FALSE,https://onlinelibrary.wiley.com/journal/16163028,https://wol-prod-cdn.literatumonline.com/pb-assets/assets/16163028/2126_Guide_for_Authors_ADFM-1561967142030.pdf,https://perma.cc/E2GP-74P8
162,Materials Horizons,13.183,MATERIALS SCIENCE,TRUE,https://www.rsc.org/journals-books-databases/about-journals/materials-horizons/,https://www.rsc.org/journals-books-databases/journal-authors-reviewers/prepare-your-article/,https://perma.cc/RPA8-TQ9V
165,Nano Energy,13.12,MATERIALS SCIENCE,FALSE,https://www.journals.elsevier.com/nano-energy,https://www.elsevier.com/wps/find/journaldescription.cws_home/725743?generatepdf=true,https://perma.cc/UW9Q-7RS8
178,ACS Energy Letters,12.277,MATERIALS SCIENCE,TRUE,https://pubs.acs.org/journal/aelccp,http://pubsapp.acs.org/paragonplus/submission/aelccp/aelccp_authguide.pdf?,https://perma.cc/5KEH-SM3D
241,Journal of Materials Chemistry A,9.931,MATERIALS SCIENCE,TRUE,https://pubs.rsc.org/en/journals/journalissues/ta#!recentarticles&adv,https://www.rsc.org/journals-books-databases/about-journals/journal-of-materials-chemistry-a/,https://perma.cc/VHD8-U93T
242,CHEMISTRY OF MATERIALS,9.89,MATERIALS SCIENCE,TRUE,https://pubs.acs.org/journal/cmatex,http://pubsapp.acs.org/paragonplus/submission/cmatex/cmatex_authguide.pdf?,https://perma.cc/56TH-XQCE
248,Small,9.598,MATERIALS SCIENCE,FALSE,https://onlinelibrary.wiley.com/journal/16136829,https://wol-prod-cdn.literatumonline.com/pb-assets/assets/16136829/2296_Guide_for_Authors_SMLL-1569507868510.pdf,https://perma.cc/PVP9-QV8B
294,npj Computational Materials,8.941,MATERIALS SCIENCE,TRUE,https://www.nature.com/npjcompumats/,https://www.nature.com/npjcompumats/about/content-types/,https://perma.cc/5PSL-9E7N
302,BIOMATERIALS,8.806,MATERIALS SCIENCE,TRUE,https://www.journals.elsevier.com/biomaterials,https://www.elsevier.com/wps/find/journaldescription.cws_home/30392?generatepdf=true,https://perma.cc/3SRX-J3EU
365,JOURNAL OF CONTROLLED RELEASE,7.877,PHARMACOLOGY & TOXICOLOGY,TRUE,https://www.journals.elsevier.com/journal-of-controlled-release,F,NA
403,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,7.357,PHARMACOLOGY & TOXICOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/13652036,https://onlinelibrary.wiley.com/page/journal/13652036/homepage/forauthors.html#manuscript,https://osf.io/s32u5/
466,BRITISH JOURNAL OF PHARMACOLOGY,6.81,PHARMACOLOGY & TOXICOLOGY,TRUE,https://bpspubs.onlinelibrary.wiley.com/journal/14765381,https://bpspubs.onlinelibrary.wiley.com/hub/journal/14765381/author-guidelines.html#MANUSCRIPT_CATEGORIES,https://osf.io/mxj3v/
498,CLINICAL PHARMACOLOGY & THERAPEUTICS,6.544,PHARMACOLOGY & TOXICOLOGY,TRUE,https://ascpt.onlinelibrary.wiley.com/journal/15326535,https://ascpt.onlinelibrary.wiley.com/page/journal/15326535/guidetoauthors#ContentTypes,https://perma.cc/Z2D6-LL8M
584,Particle and Fibre Toxicology,6.105,PHARMACOLOGY & TOXICOLOGY,TRUE,https://particleandfibretoxicology.biomedcentral.com,https://particleandfibretoxicology.biomedcentral.com/submission-guidelines/preparing-your-manuscript,https://osf.io/7krdj/
604,Acta Pharmaceutica Sinica B,6.014,PHARMACOLOGY & TOXICOLOGY,TRUE,https://www.journals.elsevier.com/acta-pharmaceutica-sinica-b,https://www.elsevier.com/wps/find/journaldescription.cws_home/725753?generatepdf=true,https://perma.cc/RRM2-29LX
647,Nanotoxicology,5.811,PHARMACOLOGY & TOXICOLOGY,TRUE,https://www.tandfonline.com/loi/inan20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=inan20#about,https://perma.cc/74KZ-4J3U
662,ARCHIVES OF TOXICOLOGY,5.728,PHARMACOLOGY & TOXICOLOGY,TRUE,https://link.springer.com/journal/204,https://www.springer.com/journal/204/submission-guidelines#Instructions%20for%20Authors_Types%20of%20papers,https://perma.cc/SZ8H-QBX6
698,Expert Opinion on Drug Delivery,5.553,PHARMACOLOGY & TOXICOLOGY,TRUE,https://www.tandfonline.com/loi/iedd20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=iedd20#Guidelines,https://perma.cc/75QY-MTM2
717,VALUE IN HEALTH,5.494,PHARMACOLOGY & TOXICOLOGY,FALSE,https://www.valueinhealthjournal.com,https://www.elsevier.com/journals/value-in-health/1098-3015/guide-for-authors#articles,https://perma.cc/YTH7-C4RA
794,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,5.217,PHARMACOLOGY & TOXICOLOGY,TRUE,https://academic.oup.com/jac,https://academic.oup.com/jac/pages/General_Instructions#Article%20types%20and%20format,https://perma.cc/DW84-9KYY
915,Therapeutic Advances in Chronic Disease,4.9,PHARMACOLOGY & TOXICOLOGY,TRUE,https://journals.sagepub.com/home/taj,https://journals.sagepub.com/author-instructions/TAJ#article-types,https://perma.cc/95UV-5CTG
920,PHARMACOLOGICAL RESEARCH,4.897,PHARMACOLOGY & TOXICOLOGY,TRUE,https://www.journals.elsevier.com/pharmacological-research,https://www.elsevier.com/wps/find/journaldescription.cws_home/622931?generatepdf=true,https://perma.cc/YP3A-BWGF
988,DRUGS,4.69,PHARMACOLOGY & TOXICOLOGY,TRUE,https://link.springer.com/journal/40265,https://www.springer.com/journal/40265/submission-guidelines#Instructions%20for%20Authors_Types%20of%20Papers,https://perma.cc/RDK9-YBDV
1028,EXPERT OPINION ON THERAPEUTIC TARGETS,4.598,PHARMACOLOGY & TOXICOLOGY,TRUE,https://www.tandfonline.com/loi/iett20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=iett20,https://perma.cc/P9UR-C4LA
8,Nature Energy,46.859,ENGINEERING,TRUE,https://www.nature.com/nenergy/,https://www.nature.com/nenergy/about/content,https://osf.io/ruvhx/
198,INTERNATIONAL JOURNAL OF COMPUTER VISION,11.541,ENGINEERING,FALSE,https://link.springer.com/journal/11263,https://www.springer.com/journal/11263/aims-and-scope,https://perma.cc/7Y4A-QVJT
259,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,9.455,ENGINEERING,FALSE,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=34,https://www.computer.org/csdl/journal/tp/write-for-us/15083?title=Author%20Information&periodical=IEEE%20Transactions%20on%20Pattern%20Analysis%20and%20Machine%20Intelligence,https://osf.io/2gp4w/
279,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,9.184,ENGINEERING,TRUE,https://www.journals.elsevier.com/renewable-and-sustainable-energy-reviews,https://www.elsevier.com/wps/find/journaldescription.cws_home/600126?generatepdf=true,https://perma.cc/QZU5-XZQV
285,PROCEEDINGS OF THE IEEE,9.107,ENGINEERING,FALSE,https://proceedingsoftheieee.ieee.org,https://proceedingsoftheieee.ieee.org/instructions-for-authors/,https://perma.cc/AD52-5SLX
330,IEEE TRANSACTIONS ON FUZZY SYSTEMS,8.415,ENGINEERING,FALSE,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=91,https://cis.ieee.org/publications/t-fuzzy-systems/tfs-information-for-authors,https://perma.cc/2GRS-Q4B7
364,APPLIED ENERGY,7.9,ENGINEERING,TRUE,https://www.journals.elsevier.com/applied-energy,https://www.elsevier.com/wps/find/journaldescription.cws_home/405891?generatepdf=true,https://perma.cc/WX39-PQH5
535,ENERGY CONVERSION AND MANAGEMENT,6.377,ENGINEERING,TRUE,https://www.journals.elsevier.com/energy-conversion-and-management,https://www.elsevier.com/journals/energy-conversion-and-management/0196-8904/guide-for-authors,https://perma.cc/9AAC-W7L8
400,IEEE Transactions on Smart Grid,7.365,ENGINEERING,FALSE,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5165411,F,NA
439,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,7.05,ENGINEERING,FALSE,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=41,F,NA
444,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,7.023,ENGINEERING,TRUE,https://www.journals.elsevier.com/international-journal-of-engineering-science,https://www.elsevier.com/wps/find/journaldescription.cws_home/278?generatepdf=true,https://perma.cc/A7LM-DQZF
465,IEEE TRANSACTIONS ON POWER ELECTRONICS,6.812,ENGINEERING,TRUE,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=63,https://www.ieee-pels.org/images/files/governing_documents/Publications/New-Guidelines-for-Manuscript-Submission-to-IEEE-TPEL.pdf,https://perma.cc/F8FQ-ASLR
474,CHEMICAL ENGINEERING JOURNAL,6.735,ENGINEERING,TRUE,https://www.journals.elsevier.com/chemical-engineering-journal,https://www.elsevier.com/wps/find/journaldescription.cws_home/601273?generatepdf=true,https://perma.cc/N9YJ-CTDZ
523,PROGRESS IN PHOTOVOLTAICS,6.456,ENGINEERING,TRUE,https://onlinelibrary.wiley.com/journal/1099159x,F,NA
528,JOURNAL OF HAZARDOUS MATERIALS,6.434,ENGINEERING,TRUE,https://www.journals.elsevier.com/journal-of-hazardous-materials,https://www.elsevier.com/journals/journal-of-hazardous-materials/0304-3894/guide-for-authors#2001,https://perma.cc/GDT3-PZQT
37,LANCET INFECTIOUS DISEASES,25.148,IMMUNOLOGY,TRUE,https://www.thelancet.com/journals/laninf/issue/current,https://els-jbs-prod-cdn.literatumonline.com/pb/assets/raw/Lancet/authors/tlid-info-for-authors-1570012985267.pdf,https://perma.cc/JN5D-476A
59,"NATURE IMMUNOLOGY",21.809,IMMUNOLOGY,TRUE,https://www.nature.com/ni/,https://www.nature.com/ni/about/content,https://perma.cc/442R-UV2M
75,IMMUNITY,19.734,IMMUNOLOGY,TRUE,https://www.sciencedirect.com/journal/immunity,https://www.cell.com/immunity/article-types,https://osf.io/49z6g/
157,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,13.258,IMMUNOLOGY,TRUE,https://www.jacionline.org,https://www.jacionline.org/content/authorinfo#idp1627072,https://osf.io/2jmg6/
208,Lancet HIV,11.355,IMMUNOLOGY,FALSE,https://www.thelancet.com/journals/lanhiv/home,https://www.thelancet.com/what-we-publish,https://osf.io/db5nv/
215,JOURNAL OF EXPERIMENTAL MEDICINE,10.79,IMMUNOLOGY,TRUE,http://jem.rupress.org,http://jem.rupress.org/about#article,https://perma.cc/Y9SH-LTKT
284,CLINICAL INFECTIOUS DISEASES,9.117,IMMUNOLOGY,TRUE,https://academic.oup.com/cid,https://academic.oup.com/cid/pages/article_types,https://perma.cc/C84U-YVMR
332,Journal for ImmunoTherapy of Cancer,8.374,IMMUNOLOGY,TRUE,https://jitc.biomedcentral.com,https://jitc.biomedcentral.com/submission-guidelines,https://perma.cc/7KKM-DXKN
381,JOURNAL OF AUTOIMMUNITY,7.607,IMMUNOLOGY,TRUE,https://www.journals.elsevier.com/journal-of-autoimmunity,https://www.elsevier.com/wps/find/journaldescription.cws_home/622856?generatepdf=true,https://perma.cc/LN7C-TSFR
385,Cellular & Molecular Immunology,7.551,IMMUNOLOGY,TRUE,https://www.nature.com/cmi/,https://www.nature.com/documents/cmi-gta.pdf,https://perma.cc/D3M3-TRZ3
397,EMERGING INFECTIOUS DISEASES,7.422,IMMUNOLOGY,FALSE,https://wwwnc.cdc.gov/eid/,https://wwwnc.cdc.gov/eid/article-types,https://perma.cc/3L94-GU2K
401,Mucosal Immunology,7.36,IMMUNOLOGY,TRUE,https://www.nature.com/mi/,https://www.nature.com/documents/mi-gta.pdf,https://perma.cc/B7JN-7SKX
431,Eurosurveillance,7.127,IMMUNOLOGY,FALSE,https://www.eurosurveillance.org,https://www.eurosurveillance.org/for-authors,https://perma.cc/8N4D-F947
449,Journal of Allergy and Clinical Immunology-In Practice,6.966,IMMUNOLOGY,TRUE,https://www.jaci-inpractice.org,https://www.jaci-inpractice.org/content/authorinfo#idp1454368,https://osf.io/n7edw/
592,ALLERGY,6.048,IMMUNOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/13989995,https://onlinelibrary.wiley.com/page/journal/13989995/homepage/forauthors.html#manuscript,https://perma.cc/AX8Z-MJCW
