id,doi,authors,title,exclusion,exclusion explanation,Is article itself PPPR,Is article linked to PPPR,exchange duplicate,Additional notes,PT,SO,PD,PY,UT
ACADEMY_OF MANAGEMENT JOURNAL_20,https://doi.org/10.5465/amj.2016.0529,"Mannucci, PV; Yong, K",THE DIFFERENTIAL IMPACT OF KNOWLEDGE DEPTH AND KNOWLEDGE BREADTH ON CREATIVITY OVER INDIVIDUAL CAREERS,FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,OCT,2018,WOS:000448133100006
ACS_Catalysis_561,https://doi.org/10.1021/acscatal.8b00877,"Song, J; Seo, MJ; Lee, TH; Jo, YR; Lee, J; Kim, TL; Kim, SY; Kim, SM; Jeong, SY; An, H; Kim, S; Lee, BH; Lee, D; Jang, HW; Kim, BJ; Lee, S",Tailoring Crystallographic Orientations to Substantially Enhance Charge Separation Efficiency in Anisotropic BiVO4 Photoanodes,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,JUL,2018,WOS:000438475100031
ACS_Catalysis_321,https://doi.org/10.1021/acscatal.8b02504,"Ding, DN; Shen, K; Chen, XD; Chen, HR; Chen, JY; Fan, T; Wu, RF; Li, YW",Multi-Level Architecture Optimization of MOF-Templated Co-Based Nanoparticles Embedded in Hollow N-Doped Carbon Polyhedra for Efficient OER and ORR,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,SEP,2018,WOS:000444364800015
ACS_Catalysis_1177,https://doi.org/10.1021/acscatal.7b02806,"Duce, S; Alonso, I; Lamsabhi, AM; Rodrigo, E; Morales, S; Ruano, JLG; Poveda, A; Mauleon, P; Cid, MB",The Acidity of a Carbon Nucleophile Dictates Enantioselectivity and Reactivity in Michael Additions to Aromatic and Aliphatic Enals via Iminium Activation,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,JAN,2018,WOS:000419751100005
ACS_Catalysis_1098,https://doi.org/10.1021/acscatal.7b04026,"Kwon, DH; Fuller, JT; Kilgore, UJ; Sydora, OL; Bischof, SM; Ess, DH","Computational Transition-State Design Provides Experimentally Verified Cr(P,N) Catalysts for Control of Ethylene Trimerization and Tetramerization",FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,FEB,2018,WOS:000424735000049
ACS_Catalysis_1170,https://doi.org/10.1021/acscatal.7b02823,"Dixit, M; Weitman, M; Gao, JL; Major, DT","Comment on ""Substrate Folding Modes in Trichodiene Synthase: A Determinant of Chemo- and Stereoselectivity""",FALSE,NA,TRUE,NA,NA,NA,J,ACS CATALYSIS,FEB,2018,WOS:000424735000078
ACS_Catalysis_634,https://doi.org/10.1021/acscatal.8b01789,"Li, ZH; Song, LL; Van Meervelt, L; Tian, GL; Van der Eycken, EV",Cationic Gold(I)-Catalyzed Cascade Bicyclizations for Divergent Synthesis of (Spiro)polyheterocycles,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,JUL,2018,WOS:000438475100074
ACS_Catalysis_49,https://doi.org/10.1021/acscatal.8b03654,"Tong, HR; Zheng, SJ; Li, XH; Deng, ZQ; Wang, H; He, G; Peng, Q; Chen, G",Pd(0)-Catalyzed Bidentate Auxiliary Directed Enantioselective Benzylic C-H Arylation of 3-Arylpropanamides Using the BINOL Phosphoramidite Ligand,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,DEC,2018,WOS:000453491100050
ACS_Catalysis_1152,https://doi.org/10.1021/acscatal.7b03461,"Beguerie, M; Dinoi, C; del Rosal, I; Faradji, C; Alcaraz, G; Vendier, L; Sabo-Etienne, S","Mechanistic Studies on the Catalytic Synthesis of BN Heterocycles (1H-2,1-Benzazaboroles) at Ruthenium",FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,FEB,2018,WOS:000424735000026
ACS_Catalysis_24,https://doi.org/10.1021/acscatal.8b02866,"Liang, GF; Zhou, YG; Zhao, JP; Khodakov, AY; Ordomsky, VV",Structure-Sensitive and Insensitive Reactions in Alcohol Amination over Nonsupported Ru Nanoparticles,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,DEC,2018,WOS:000453491100025
ACS_Catalysis_356,https://doi.org/10.1021/acscatal.8b02459,"Li, JY; Zhang, ZY; Cui, W; Wang, H; Cen, WL; Johnson, G; Jiang, GM; Zhang, S; Dong, F",The Spatially Oriented Charge Flow and Photocatalysis Mechanism on Internal van der Waals Heterostructures Enhanced g-C3N4,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,SEP,2018,WOS:000444364800067
ACS_Catalysis_165,https://doi.org/10.1021/acscatal.8b03271,"Tinnermann, H; Nicholls, LDM; Johannsen, T; Wille, C; Golz, C; Goddard, R; Alcarazo, M","N-Arylpyridiniophosphines: Synthesis, Structure, and Applications in Au(I) Catalysis",FALSE,NA,FALSE,FALSE,NA,NA,J,ACS CATALYSIS,NOV,2018,WOS:000449723900060
ACS_Nano_561,https://doi.org/10.1021/acsnano.8b01729,"Li, JN; Xu, WG; Li, D; Liu, TJ; Zhang, YS; Ding, JX; Chen, XS",Locally Deployable Nanofiber Patch for Sequential Drug Delivery in Treatment of Primary and Advanced Orthotopic Hepatomas,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,JUL,2018,WOS:000440505000033
ACS_Nano_321,https://doi.org/10.1021/acsnano.8b07700,"Voiry, D; Chhowalla, M; Gogotsi, Y; Kotov, NA; Li, Y; Penner, RM; Schaak, RE; Weiss, PS",Best Practices for Reporting Electrocatalytic Performance of Nanomaterials,TRUE,not research,NA,NA,NA,article is an editorial,J,ACS NANO,OCT,2018,WOS:000448751800001
ACS_Nano_1177,https://doi.org/10.1021/acsnano.7b09175,"Tian, W; Hu, H; Wang, YX; Li, P; Liu, JY; Liu, JL; Wang, XB; Xu, XD; Li, ZT; Zhao, QS; Ning, H; Wu, WT; Wu, MB",Metal-Organic Frameworks Mediated Synthesis of One-Dimensional Molybdenum-Based/Carbon Composites for Enhanced Lithium Storage,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,FEB,2018,WOS:000426615600112
ACS_Nano_1098,https://doi.org/10.1021/acsnano.7b01850,"Xiao, JS; Zhu, YX; Huddleston, S; Li, P; Xiao, BX; Farha, OK; Ameer, GA",Copper Metal-Organic Framework Nanoparticles Stabilized with Folic Acid Improve Wound Healing in Diabetes,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,FEB,2018,WOS:000426615600013
ACS_Nano_1252,https://doi.org/10.1021/acsnano.7b07060,"Lee, K; Fraser, K; Ghaddar, B; Yang, K; Kim, E; Balaj, L; Chiocca, EA; Breakefield, XO; Lee, H; Weissleder, R",Multiplexed Profiling of Single Extracellular Vesicles,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,JAN,2018,WOS:000423495200053
ACS_Nano_1170,https://doi.org/10.1021/acsnano.7b08813,"Sobral, RG; DeVorkin, L; Macpherson, S; Jirasek, A; Lum, JJ; Brolo, AG",Ex Vivo Detection of Circulating Tumor Cells from Whole Blood by Direct Nanoparticle Visualization,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,FEB,2018,WOS:000426615600103
ACS_Nano_634,https://doi.org/10.1021/acsnano.8b02065,"Liu, XY; Arslan, I; Arey, BW; Hackley, J; Lordi, V; Richardson, CJK",Perfect Strain Relaxation in Metamorphic Epitaxial Aluminum on Silicon through Primary and Secondary Interface Misfit Dislocation Arrays,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,JUL,2018,WOS:000440505000048
ACS_Nano_49,https://doi.org/10.1021/acsnano.8b06051,"Liu, W; Li, PY; Wang, WW; Zhu, D; Chen, YG; Pen, SL; Paek, E; Mitlin, D",Directional Flow-Aided Sonochemistry Yields Graphene with Tunable Defects to Provide Fundamental Insight on Sodium Metal Plating Behavior,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,DEC,2018,WOS:000454567500050
ACS_Nano_1152,https://doi.org/10.1021/acsnano.7b08423,"Zhuo, XL; Yip, HK; Ruan, QF; Zhang, TK; Zhu, XZ; Wang, JF; Lin, HQ; Xu, JB; Yang, Z",Broadside Nanoantennas Made of Single Silver Nanorods,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,FEB,2018,WOS:000426615600083
ACS_Nano_24,https://doi.org/10.1021/acsnano.8b03862,"Si, P; Yuan, E; Liba, O; Winetraub, Y; Yousefi, S; SoRelle, ED; Yecies, DW; Dutta, R; de la Zerda, A",Gold Nanoprisms as Optical Coherence Tomography Contrast Agents in the Second Near-Infrared Window for Enhanced Angiography in Live Animals,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,DEC,2018,WOS:000454567500025
ACS_Nano_356,https://doi.org/10.1021/acsnano.8b03994,"Liu, TY; Yuan, HG; Liu, YY; Ren, D; Su, YC; Wang, XL",Metal-Organic Framework Nanocomposite Thin Films with Interfacial Bindings and Self-Standing Robustness for High Water Flux and Enhanced Ion Selectivity,FALSE,NA,FALSE,FALSE,NA,NA,J,ACS NANO,SEP,2018,WOS:000445972400044
Acta_Crystallographica A-Foundation and Advances_49,https://doi.org/10.1107/S2053273318008963,"Nikolaev, KV; Makhotkin, IA; Yakunin, SN; van de Kruijs, RWF; Chuev, MA; Bijkerk, F",Specular reflection intensity modulated by grazing-incidence diffraction in a wide angular range,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,SEP,2018,WOS:000443900900013
Acta_Crystallographica A-Foundation and Advances_37,https://doi.org/10.1107/S2053273318008999,"Tegze, M; Bortel, G",Incorporating particle symmetry into orientation determination in single-particle imaging,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,SEP,2018,WOS:000443900900009
Acta_Crystallographica A-Foundation and Advances_1,https://doi.org/10.1107/S205327331800880X,"Bucsek, AN; Dale, D; Ko, JYP; Chumlyakov, Y; Stebner, AP",Measuring stress-induced martensite microstructures using far-field high-energy diffraction microscopy,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,SEP,2018,WOS:000443900900003
Acta_Crystallographica A-Foundation and Advances_25,https://doi.org/10.1107/S2053273318009282,"Petkov, V; Shastri, S; Kim, JW; Shan, SY; Luo, J; Wu, JF; Zhong, CJ",Application of differential resonant high-energy X-ray diffraction to three-dimensional structure studies of nanosized materials: A case study of Pt-Pd nanoalloy catalysts,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,SEP,2018,WOS:000443900900014
Acta_Crystallographica A-Foundation and Advances_10,https://doi.org/10.1107/S2053273318009877,"Prudnikov, IR",Intensive X-ray standing-wave-like fields localized near a surface of a crystalline superlattice,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,SEP,2018,WOS:000443900900020
Acta_Crystallographica A-Foundation and Advances_36,https://doi.org/10.1107/S2053273318012007,"Phillips, AE",Rigid units revisited,TRUE,not research,NA,NA,NA,"Its a ""Scientific Commentary"" but only comments positively on an article published in the same issue, so not PPPR",J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,SEP,2018,WOS:000443900900001
Acta_Crystallographica A-Foundation and Advances_18,https://doi.org/10.1107/S2053273318004977,"Usher, TM; Olds, D; Liu, J; Page, K",A numerical method for deriving shape functions of nanoparticles for pair distribution function refinements,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,JUL,2018,WOS:000437746600004
Acta_Crystallographica A-Foundation and Advances_61,https://doi.org/10.1107/S205327331701525X,"Shimomura, K; Hirose, M; Takahashi, Y",Multislice imaging of integrated circuits by precession X-ray ptychography,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,JAN,2018,WOS:000418592200007
Acta_Crystallographica A-Foundation and Advances_47,https://doi.org/10.1107/S2053273318012135,"Baburin, IA; Bouniaev, M; Dolbilin, N; Erokhovets, NY; Garber, A; Krivovichev, SV; Schulte, E",On the origin of crystallinity: a lower bound for the regularity radius of Delone sets,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,NOV,2018,WOS:000448921800001
Acta_Crystallographica A-Foundation and Advances_24,https://doi.org/10.1107/S2053273318009713,"Campbell, B; Howard, CJ; Averett, TB; Whittle, TA; Schmid, S; Machlus, S; Yost, C; Stokes, HT",An algebraic approach to cooperative rotations in networks of interconnected rigid units,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,SEP,2018,WOS:000443900900002
Acta_Crystallographica A-Foundation and Advances_7,https://doi.org/10.1107/S2053273318003224,"Olds, D; Saunders, CN; Peters, M; Proffen, T; Neuefeinda, J; Page, K",Precise implications for real-space pair distribution function modeling of effects intrinsic to modern time-of-flight neutron diffractometers,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,JUL,2018,WOS:000437746600002
Acta_Crystallographica Section C-Structural Chemistry_49,https://doi.org/10.1107/S2053229618013670,"Vasylevskyi, S; Holzheu, A; Fromm, KM","Solid-state structure and antimicrobial and cytotoxicity studies of a cucurbit[6] uril-like Cu6L4 constructed from 3,5-bis[(1H-tetrazol-5-yl)methyl]-4H-1,2,4-triazol-4-amine",FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,NOV,2018,WOS:000449511500027
Acta_Crystallographica Section C-Structural Chemistry_229,https://doi.org/10.1107/S2053229617017260,"Macias, MA; Castillo, JC; Portilla, J",A series of (E)-5-(arylideneamino)-1-tert-butyl-1H-pyrrole-3-carbonitriles and their reduction products to secondary amines: syntheses and X-ray structural studies,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,JAN,2018,WOS:000419342700012
Acta_Crystallographica Section C-Structural Chemistry_65,https://doi.org/10.1107/S2053229618013451,"Derstine, B; Chamberlain, C; Glover, M; Porter, L; Eckermann, A","Structural and electrochemical comparison of trinuclear ruthenium oxo clusters [Ru-3(OAc)(6)O(L)(3)](+) and [Ru-3(OAc)(6)O(L)(2)(CO)] (L = imidazole, benzimidazole, and 4-phenylpyridine)",FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,NOV,2018,WOS:000449511500036
Acta_Crystallographica Section C-Structural Chemistry_153,https://doi.org/10.1107/S2053229618005430,"Davis, RA; Fettinger, JC","N,N,N-Trimethyl-5-[(2,3,5,6-tetrafluorophenoxy)-carbonyl]pyridin-2-aminium trifluoromethane-sulfonate a precursor for the synthesis of 2,3,5,6-tetrafluorophenyl 6-[F-18]-fluoronicotinate",FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,MAY,2018,WOS:000431429300012
Acta_Crystallographica Section C-Structural Chemistry_74,https://doi.org/10.1107/S2053229618012421,"Roitershtein, DM; Minashina, KI; Minyaev, ME; Ananyev, IV; Lyssenko, KA; Tavtorkin, AN; Nifant'ev, IL",Different coordination modes of trans-2-{[(2-meth-oxyphenyl)imino]methylionenoxide in rare-earth complexes: influence of the metal cation radius and the number of ilgands on steric congestion and ligand coordination modes,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,OCT,2018,WOS:000446460800005
Acta_Crystallographica Section C-Structural Chemistry_146,https://doi.org/10.1107/S2053229618004953,"Shahid, A; Aziz, A; Noureen, S; Ahmed, M; Yousuf, S; Choudhary, MI","Biotransformation, spectroscopic investigation, crystal structure and electrostatic properties of 3,7 alpha-dihydroxyestra-1,3,5(10)-trien-17-one mono-hydrate studied using transferred electron-density parameters",FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,MAY,2018,WOS:000431429300003
Acta_Crystallographica Section C-Structural Chemistry_122,https://doi.org/10.1107/S2053229618007933,"Farkhani, ET; Pourayoubi, M; Izadyar, M; Andreev, PV; Shchegravina, ES","Evaluation of N-H center dot center dot center dot S and N-H center dot center dot center dot pi interactions in O,O '-diethyl N-(2,4,6-trimethylphenyl)thiophosphate: a combination of X-ray crystallographic and theoretical studies",FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,JUL,2018,WOS:000437514100008
Acta_Crystallographica Section C-Structural Chemistry_231,https://doi.org/10.1107/S2053229617017685,"Budniak, UA; Dominiak, PM",Molecular tapes in the structure of isoguaninium chloride,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,JAN,2018,WOS:000419342700015
Acta_Crystallographica Section C-Structural Chemistry_128,https://doi.org/10.1107/S2053229618006605,"Yao, BR; Li, N; Wang, CH; Hou, GG; Meng, QG; Yan, K","Novel asymmetric 3,5-bis(arylidene) piperidin-4-one derivatives: synthesis, crystal structures and cytotoxicity",FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,JUN,2018,WOS:000434332200002
Acta_Crystallographica Section C-Structural Chemistry_47,https://doi.org/10.1107/S2053229618012536,"Gumerova, NI; Blazevic, A; Fraile, TC; Roller, A; Giester, G; Rompel, A",Synthesis and characterization of hybrid Anderson hexamolybdoaluminates(III) functionalized with indometacin or cinnamic acid,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,NOV,2018,WOS:000449511500022
ACTA_NEUROPATHOLOGICA_49,https://doi.org/10.1007/s00401-018-1865-4,"Deng, MY; Sill, M; Chiang, J; Schittenhelm, J; Ebinger, M; Schuhmann, MU; Monoranu, CM; Milde, T; Wittmann, A; Hartmann, C; Sommer, C; Paulus, W; Gaertner, J; Brueck, W; Ruediger, T; Leipold, A; Jaunmuktane, Z; Brandner, S; Giangaspero, F; Nozza, P; Mora, J; la Madrid, A; Martinez, O; Hansford, JR; Pietsch, T; Tietze, A; Hernaiz-Driever, P; Stoler, I; Capper, D; Korshunov, A; Ellison, DW; Deimling, A; Pfister, SM; Sahm, F; Jones, DTW",Molecularly defined diffuse leptomeningeal glioneuronal tumor (DLGNT) comprises two subgroups with distinct clinical and genetic features,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA NEUROPATHOLOGICA,AUG,2018,WOS:000440074600005
ACTA_NEUROPATHOLOGICA_65,https://doi.org/10.1007/s00401-018-1869-0,"Spencer, B; Bruschweiler, S; Sealey-Cardona, M; Rockenstein, E; Adame, A; Florio, J; Mante, M; Trinh, I; Rissman, RA; Konrat, R; Masliah, E",Selective targeting of 3 repeat Tau with brain penetrating single chain antibodies for the treatment of neurodegenerative disorders,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA NEUROPATHOLOGICA,JUL,2018,WOS:000435940000005
ACTA_NEUROPATHOLOGICA_74,https://doi.org/10.1007/s00401-018-1850-y,"Verheijen, BM; Vermulst, M; van Leeuwen, FW",Somatic mutations in neurons during aging and neurodegeneration,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA NEUROPATHOLOGICA,JUN,2018,WOS:000432296500001
ACTA_NEUROPATHOLOGICA_122,https://doi.org/10.1007/s00401-017-1797-4,"Henstridge, CM; Sideris, DI; Carroll, E; Rotariu, S; Salomonsson, S; Tzioras, M; McKenzie, CA; Smith, C; von Arnim, CAF; Ludolph, AC; Lule, D; Leighton, D; Warner, J; Cleary, E; Newton, J; Swingler, R; Chandran, S; Gillingwater, TH; Abrahams, S; Spires-Jones, TL",Synapse loss in the prefrontal cortex is associated with cognitive decline in amyotrophic lateral sclerosis,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA NEUROPATHOLOGICA,FEB,2018,WOS:000422922300004
ACTA_NEUROPATHOLOGICA_140,https://doi.org/10.1007/s00401-017-1778-7,"Kelly, DM",Phenotyping cognitive impairment in dialysis patients: insights from experimental mouse models,FALSE,NA,TRUE,NA,NA,PPPR correspondance,J,ACTA NEUROPATHOLOGICA,JAN,2018,WOS:000419470000013
ACTA_NEUROPATHOLOGICA_128,https://doi.org/10.1007/s00401-017-1777-8,"Lionnet, A; Leclair-Visonneau, L; Neunlist, M; Murayama, S; Takao, M; Adler, CH; Derkinderen, P; Beach, TG",Does Parkinson's disease start in the gut?,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA NEUROPATHOLOGICA,JAN,2018,WOS:000419470000001
ACTA_NEUROPATHOLOGICA_47,https://doi.org/10.1007/s00401-018-1877-0,"Pajtler, KW; Wen, J; Sill, M; Lin, T; Orisme, W; Tang, B; Hubner, JM; Ramaswamy, V; Jia, SJ; Dalton, JD; Haupfear, K; Rogers, HA; Punchihewa, C; Lee, R; Easton, J; Wu, G; Ritzmann, TA; Chapman, R; Chavez, L; Boop, FA; Klimo, P; Sabin, ND; Ogg, R; Mack, SC; Freibaum, BD; Kim, HJ; Witt, H; Jones, DTW; Vo, B; Gajjar, A; Pounds, S; Onar-Thomas, A; Roussel, MF; Zhang, JH; Taylor, JP; Merchant, TE; Grundy, R; Tatevossian, RG; Taylor, MD; Pfister, SM; Korshunov, A; Kool, M; Ellison, DW",Molecular heterogeneity and CXorf67 alterations in posterior fossa group A (PFA) ependymomas,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA NEUROPATHOLOGICA,AUG,2018,WOS:000440074600003
ACTA_NEUROPATHOLOGICA_24,https://doi.org/10.1007/s00401-018-1890-3,"Heinsen, H; Grinberg, LT",On the origin of tau seeding activity in Alzheimer's disease,FALSE,NA,TRUE,NA,NA,PPPR correspondance,J,ACTA NEUROPATHOLOGICA,NOV,2018,WOS:000450724300012
ACTA_NEUROPATHOLOGICA_71,https://doi.org/10.1007/s00401-018-1836-9,"Neidert, MC; Kowalewski, DJ; Silginer, M; Kapolou, K; Backert, L; Freudenmann, LK; Peper, JK; Marcu, A; Wang, SSY; Walz, JS; Wolpert, F; Rammensee, HG; Henschler, R; Lamszus, K; Westphal, M; Roth, P; Regli, L; Stevanovic, S; Weller, M; Eisele, G",The natural HLA ligandome of glioblastoma stem-like cells: antigen discovery for T cell-based immunotherapy,FALSE,NA,FALSE,FALSE,NA,NA,J,ACTA NEUROPATHOLOGICA,JUN,2018,WOS:000432296500008
