Coder's initials,Enter the name of the journal:,Does the journal offer any type of PPPR?,A. Enter the name of the PPPR type offered by the journal:,A. Enter the verbatim description of this type of PPPR provided by the journal,A. Are there any word/comment limits for this type of PPPR?,A. Are there any time limits for submission of this type of PPPR?,A. Are there any reference limits for this type of PPPR?,A. Is this type of PPPR peer reviewed?,A. Are there any other types of PPPR in this journal?,B. Enter the name of the PPPR type offered by the journal:,B. Enter the verbatim description of this type of PPPR provided by the journal,B. Are there any word/comment limits for this type of PPPR?,B. Are there any time limits for submission of this type of PPPR?,B. Are there any reference limits for this type of PPPR?,B. Is this type of PPPR peer reviewed?,B. Are there any other types of PPPR in this journal?,C. Enter the name of the PPPR type offered by the journal:,C. Enter the verbatim description of this type of PPPR provided by the journal,C. Are there any word/comment limits for this type of PPPR?,C. Are there any time limits for submission of this type of PPPR?,C. Are there any reference limits for this type of PPPR?,C. Is this type of PPPR peer reviewed?,C. Are there any other types of PPPR in this journal?,D. Enter the name of the PPPR type offered by the journal:,D. Enter the verbatim description of this type of PPPR provided by the journal,D. Are there any word/comment limits for this type of PPPR?,D. Are there any time limits for submission of this type of PPPR?,D. Are there any reference limits for this type of PPPR?,D. Is this type of PPPR peer reviewed?,D. Are there any other types of PPPR in this journal?,E. Enter the name of the PPPR type offered by the journal:,E. Enter the verbatim description of this type of PPPR provided by the journal,E. Are there any word/comment limits for this type of PPPR?,E. Are there any time limits for submission of this type of PPPR?,E. Are there any reference limits for this type of PPPR?,E. Is this type of PPPR peer reviewed?
TEH,ACS Central Science,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,ACS Central Science,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,ACS Energy Letters,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,ACS Energy Letters,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,ACS Energy Letters,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,ACS Nano,YES,Letters to the editors,"ACS Nano will consider Letters to the Editor. Letters to the Editor should be brief and may be
edited for conciseness and clarity. Note that Letters to the Editor that comment on research
findings previously published in ACS Nano will be forwarded to the original author, who may
rebut the Letter to the Editor. If the original authors respond to the Letter to the Editor, both
pieces are often scheduled to be published simultaneously. ACS Nano will not accept Letters to the Editor that comment on research published elsewhere.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,ACS Nano,YES,Letter to the Editor,"ACS Nano will consider Letters to the Editor. Letters to the Editor should be brief and may be edited for conciseness and clarity. Note that Letters to the Editor that comment on research findings previously published in ACS Nano will be forwarded to the original author, who may rebut the Letter to the Editor. If the original authors respond to the Letter to the Editor, both pieces are often scheduled to be published simultaneously. ACS Nano will not accept Letters to the Editor that comment on research published elsewhere.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,ACS Nano,YES,Letter to the Editor,"ACS Nano will consider Letters to the Editor. Letters to the Editor should be brief and may be edited for conciseness and clarity. Note that Letters to the Editor that comment on research findings previously published in ACS Nano will be forwarded to the original author, who may rebut the Letter to the Editor. If the original authors respond to the Letter to the Editor, both pieces are often scheduled to be published simultaneously. ACS Nano will not accept Letters to the Editor that comment on research published elsewhere.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,ACS Photonics,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,ACS Photonics,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/TEH,ACS Photonics,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,ACTA ASTRONOMICA,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,ACTA ASTRONOMICA,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,ACTA ASTRONOMICA,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Acta Crystallographica Section C-Structural Chemistry,YES,"Commentary (""Scientific Comment"")","""Comments of general scientific interest to the readership.""","YES (provide number of words/comments below), ""These should not normally exceed two journal pages.""",NOT STATED,NOT STATED,NOT STATED,YES (opens another page),Letters to the Editor,"""These may deal with non-technical aspects of crystallography, its role, its propagation, the proper function of its Societies etc., or may make a technical observation that would usefully be brought to a wider audience.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Acta Crystallographica Section C-Structural Chemistry,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,Acta Crystallographica Section C-Structural Chemistry,YES,Letters to the Editor,"""These may deal with non-technical aspects of crystallography, its role, its propagation, the proper function of its Societies etc., or may make a technical observation that would usefully be brought to a wider audience.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,ACTA NEUROPATHOLOGICA,YES,Letters (Correspondence),"Letters may include commentaries about previous papers in Acta Neuropathologica, on other matters of interst, reports on single cases, or negative findings. Letters do not have an Abstract, nor do they have sections such as Introduction, Materials & Methods, Results and Discussion.

The title of the letter should include the message, i.e. the new finding that makes it worth publishing. Letters must not exceed 1,000 words and 2 printed pages, including figures, tables (if any) and references. One printed text page corresponds to about 800 words.","YES (provide number of words/comments below), 1000",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,ACTA NEUROPATHOLOGICA,YES,Letters (Correspondence),"Letters (Correspondence)
Letters may include commentaries about previous papers in Acta Neuropathologica, on other matters of interst, reports on single cases, or negative findings. Letters do not have an Abstract, nor do they have sections such as Introduction, Materials & Methods, Results and Discussion.

The title of the letter should include the message, i.e. the new finding that makes it worth publishing. Letters must not exceed 1,000 words and 2 printed pages, including figures, tables (if any) and references. One printed text page corresponds to about 800 words.","YES (provide number of words/comments below), not more than 1000 words and 2 pages",NOT STATED,word/page limits include references,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,ACTA NEUROPATHOLOGICA,YES,Letters (Correspondence),"Letters (Correspondence)
Letters may include commentaries about previous papers in Acta Neuropathologica, on other matters of interst, reports on single cases, or negative findings. Letters do not have an Abstract, nor do they have sections such as Introduction, Materials & Methods, Results and Discussion.

The title of the letter should include the message, i.e. the new finding that makes it worth publishing. Letters must not exceed 1,000 words and 2 printed pages, including figures, tables (if any) and references. One printed text page corresponds to about 800 words.","YES (provide number of words/comments below), not more than 1000 words and 2 pages",NOT STATED,word/page limits include references,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,Acta Pharmaceutica Sinica B,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Acta Pharmaceutica Sinica B,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/JEK,Acta Pharmaceutica Sinica B,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,ADMINISTRATIVE SCIENCE QUARTERLY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,ADMINISTRATIVE SCIENCE QUARTERLY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,ADMINISTRATIVE SCIENCE QUARTERLY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,Advanced Energy Materials,YES,Correspondence,Correspondences commenting on publications in Advanced Energy Materials are welcome if they contribute to the scientific discussion.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,Advanced Energy Materials,YES,Correspondence,Correspondences commenting  on  publications  in Advanced  Energy  Materials are  welcome  if  they contribute  to  the  scientific  discussion.The  author  of  the  publication  to  which  the  Correspondence refers will have the opportunity to reply.,NOT STATED,NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,Advanced Energy Materials,YES,Correspondence,Correspondences commenting  on  publications  in Advanced  Energy  Materials are  welcome  if  they contribute  to  the  scientific  discussion.The  author  of  the  publication  to  which  the  Correspondence refers will have the opportunity to reply.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,ADVANCED FUNCTIONAL MATERIALS,YES,"Commentary (""Correspondences"")","""Correspondences commenting on publications in Advanced Functional Materials are welcome if they contribute to the scientific discussion.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,ADVANCED FUNCTIONAL MATERIALS,YES,Correspondence,Correspondences commenting on publications in Advanced Functional Materials are welcome if they contribute  to  the  scientific  discussion.The  author  of  the  publication  to  which  the  Correspondence refers will have the opportunity to reply.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/TEH,ADVANCED FUNCTIONAL MATERIALS,YES,Correspondence,Correspondences commenting on publications in Advanced Functional Materials are welcome if they contribute to the scientific discussion.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,ADVANCED MATERIALS,YES,Correspondences,"Correspondences commenting on publications in Advanced Materials are welcome if they contribute
to the scientific discussion. The author of the publication to which the Correspondence refers will
have the opportunity to reply.
",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,ADVANCED MATERIALS,YES,Correspondences,"Correspondences commenting on publications in Advanced Materials are welcome if they contribute
to the scientific discussion. The author of the publication to which the Correspondence refers will
have the opportunity to reply.
",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/RTT,ADVANCED MATERIALS,YES,Correspondences,"Correspondences commenting on publications in Advanced Materials are welcome if they contribute
to the scientific discussion. The author of the publication to which the Correspondence refers will
have the opportunity to reply.
",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,Advanced Science,YES,Correspondences,"Correspondences commenting on publications in Advanced Science are welcome if they contribute to
the scientific discussion. The author of the publication to which the Correspondence refers will have
the opportunity to reply.
",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,Advanced Science,YES,Correspondence,Correspondences commenting on publications in Advanced Science are welcome if they contribute to the scientific discussion. The author of the publication to which the Correspondence refers will have the opportunity to reply.,NOT STATED,NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,Advanced Science,YES,Correspondence,Correspondences commenting on publications in Advanced Science are welcome if they contribute to the scientific discussion. The author of the publication to which the Correspondence refers will have the opportunity to reply.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Advances in Nonlinear Analysis,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,Advances in Nonlinear Analysis,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/RTT,Advances in Nonlinear Analysis,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,JOURNAL OF HIGH ENERGY PHYSICS,NO,"NA","NA","NA","NA","NA","NA",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,JOURNAL OF HIGH ENERGY PHYSICS,NO,"NA","NA","NA","NA","NA","NA",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,JOURNAL OF HIGH ENERGY PHYSICS,NO,"NA","NA","NA","NA","NA","NA",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,AGRICULTURAL AND FOREST METEOROLOGY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,AGRICULTURAL AND FOREST METEOROLOGY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/RTT,AGRICULTURAL AND FOREST METEOROLOGY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Agronomy for Sustainable Development,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Agronomy for Sustainable Development,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,Agronomy for Sustainable Development,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,YES,Letters to the Editor and Invited Editorials,"Letters to the Editor and Invited Editorials are restricted to the discussion of papers already published in the journal (preferably within the last 18-24 months), WITH A MAXIMUM OF 500 WORDS, ONE TABLE OR FIGURE AND UP TO 10 REFERENCES.","YES (provide number of words/comments below), 500","YES (provide detail of time limits below), preferably within the last 18-24 months","YES (provide number of references below), 10",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,YES,Letters to the Editor,"Letters to the Editor and Invited Editorials are restricted to the discussion of papers already published in the journal (preferably within the last 18-24 months), WITH A MAXIMUM OF 500 WORDS, ONE TABLE OR FIGURE AND UP TO 10 REFERENCES.

(from ""Peer Review and Acceptance"" section: Letters to the Editor about past papers in AP&T are not usually subject to peer review, but are always shared with the authors of the original paper prior to publication, with a right to reply.)","YES (provide number of words/comments below), max 500 words","YES (provide detail of time limits below), UNCLEAR (provide detail below), ""preferably in the last 18-24 months""","YES (provide number of references below), max 10 references","OTHER (provide detail), ""not usually subject to peer review""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,YES,Letters to the Editor,"Letters to the Editor and Invited Editorials are restricted to the discussion of papers already published in the journal (preferably within the last 18-24 months), WITH A MAXIMUM OF 500 WORDS, ONE TABLE OR FIGURE AND UP TO 10 REFERENCES.

(from ""Peer Review and Acceptance"" section: Letters to the Editor about past papers in AP&T are not usually subject to peer review, but are always shared with the authors of the original paper prior to publication, with a right to reply.)","YES (provide number of words/comments below), max 500 words","YES (provide detail of time limits below), UNCLEAR (provide detail below), ""preferably in the last 18-24 months""","YES (provide number of references below), max 10 references","OTHER (provide detail), ""not usually subject to peer review""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,ALLERGY,YES,Correspondence,Correspondences that refer to a previously published original article are welcome to be published in Allergy.,"YES (provide number of words/comments below), 600 words",NOT STATED,"YES (provide number of references below), 6",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
